drug_id,drug_name,disease_id,disease_name,Model,Total_Abstracts,Analyzed,Positive,Neutral,Negative,Human_Studies,Animal_in_vivo_Studies,In_vitro_Studies,Review_Studies,Computational_Studies,Not_specified_Studies,rank,Rate_Positive,Rate_Neutral,Rate_Negative,Criterion_1,Criterion_2,has_clinical_trial,clinical_trial_count,clinical_trial_id,additional_trials,search_status,primary_completion_date,study_phase,trial_conditions,trial_status,trial_title
14196,Propranolol,99214,cardiomyopathy due to anthracyclines,RLR,200,200,2,196,2,95,60,16,20,1,8,1,0.01,0.98,0.01,Potentially Therapeutic,Potentially Therapeutic,Yes,1,NCT05427474,,Success - Found and processed details,2023-09-30 (ESTIMATED),PHASE3,Traumatic Brain Injury,UNKNOWN,Role of Combined Therapy of Propranolol and Gabapentin in Paroxysmal Sympathetic Hyperactivity in Traumatic Brain Injury
15399,Acefylline,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,,,,,,,1,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
15399,Acefylline,99214,cardiomyopathy due to anthracyclines,RLR,1,1,0,1,0,,,,,,,6,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14783,Caffeine,99214,cardiomyopathy due to anthracyclines,CompGCN,59,59,0,49,10,,,,,,,1,0,0.830508475,0.169491525,Potentially Adverse Effect,No Positive Sign,Yes,3,NCT07103057,"NCT03845127,NCT01225978",Success - Found and processed details,2028-12 (ESTIMATED) || 2024-12-31 (ACTUAL) || 2012-12 (ACTUAL),Unknown || NA || Unknown,Hypertrophic Cardiomyopathy --- Ischemic Cardiomyopathy; Heart Failure --- Hypertrophic Cardiomyopathy; Hearing Loss; Cancer,RECRUITING || WITHDRAWN || UNKNOWN,VIZ ACCESS HCM - Multi-Site Registry || Randomized Evaluation and Verification of Ventricular Enhancement || Refining Information Technology Support for Genetics in Medicine
15446,Bosentan,99214,cardiomyopathy due to anthracyclines,RLR,198,198,2,184,12,78,34,2,75,1,8,2,0.01010101,0.929292929,0.060606061,Potentially Adverse Effect,Potentially Therapeutic,No,0,,,No trials found,,,,,
16036,Acetylcysteine,99214,cardiomyopathy due to anthracyclines,CompGCN,128,128,11,113,4,,,,,,,2,0.0859375,0.8828125,0.03125,Potentially Therapeutic,Potentially Therapeutic,Yes,1,NCT01537926,,Success - Found and processed details,2016-12-31 (ACTUAL),PHASE1,Hypertrophic Cardiomyopathy,COMPLETED,Hypertrophic Regression With N-Acetylcysteine in HCM
18314,Benzoic acid,99214,cardiomyopathy due to anthracyclines,RLR,37,37,0,33,4,2,22,12,1,0,0,3,0,0.891891892,0.108108108,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
16281,Cysteine,99214,cardiomyopathy due to anthracyclines,CompGCN,200,200,3,197,0,,,,,,,3,0.015,0.985,0,Potentially Therapeutic,Potentially Therapeutic,No,0,,,No trials found,,,,,
20423,Aminobenzoic acid,99214,cardiomyopathy due to anthracyclines,RLR,4,4,0,3,1,2,0,1,1,0,0,4,0,0.75,0.25,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
14955,Vincristine,99214,cardiomyopathy due to anthracyclines,CompGCN,34,34,1,33,0,,,,,,,4,0.029411765,0.970588235,0,Potentially Therapeutic,Potentially Therapeutic,Yes,1,NCT06220032,,Success - Found and processed details,2028-12-15 (ESTIMATED),PHASE3,DLBCL - Diffuse Large B Cell Lymphoma,RECRUITING,Prevention of Anthracycline-Induced Cardiac Dysfunction With Dexrazoxane in Patients With Diffuse Large-B Cell Lymphoma
14226,Zileuton,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,,,,,,,4,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14686,Clomifene,99214,cardiomyopathy due to anthracyclines,CompGCN,1,1,0,1,0,,,,,,,5,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
17568,Tulobuterol,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,,,,,,,5,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
15412,Histamine,99214,cardiomyopathy due to anthracyclines,CompGCN,16,16,0,16,0,,,,,,,6,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
17221,Levosimendan,99214,cardiomyopathy due to anthracyclines,RLR,200,200,2,192,6,112,21,10,45,2,10,7,0.01,0.96,0.03,Potentially Adverse Effect,Potentially Therapeutic,Yes,2,NCT02640846,NCT04166331,Success - Found and processed details,2019-01 (ESTIMATED) || 2025-07-01 (ACTUAL),PHASE4 || PHASE3,Septic Shock; Cardiomyopathy --- Sepsis; Cardiomyopathies; Hypoperfusion; Left Ventricular Systolic Dysfunction,UNKNOWN || COMPLETED,"Effects of Levosimendan, Milrinone and Norepinephrine on Left and Right Ventricular Function in Septic Shock || Adjunctive DobutAmine in sePtic Cardiomyopathy With Tissue Hypoperfusion"
14792,Paclitaxel,99214,cardiomyopathy due to anthracyclines,CompGCN,46,46,0,36,10,,,,,,,7,0,0.782608696,0.217391304,Potentially Adverse Effect,No Positive Sign,Yes,1,NCT02677714,,Success - Found and processed details,2018-10-12 (ACTUAL),PHASE2,Breast Cancer; Doxorubicin Induced Cardiomyopathy,TERMINATED,99mTc-rhAnnexin V-128 Imaging and Cardiotoxicity in Patients With Early Breast Cancer
20598,Ibopamine,99214,cardiomyopathy due to anthracyclines,RLR,12,12,0,9,3,4,0,1,7,0,0,8,0,0.75,0.25,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
16219,Alprostadil,99214,cardiomyopathy due to anthracyclines,CompGCN,11,11,0,11,0,,,,,,,8,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
20613,Azosemide,99214,cardiomyopathy due to anthracyclines,RLR,24,24,0,22,2,19,1,0,4,0,0,9,0,0.916666667,0.083333333,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
15160,Arformoterol,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,,,,,,,9,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14194,Methotrexate,99214,cardiomyopathy due to anthracyclines,CompGCN,57,57,0,54,3,,,,,,,9,0,0.947368421,0.052631579,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
